2024-09-01 22:01:27,528 INFO    StreamThr :19940 [internal.py:wandb_internal():86] W&B internal server running at pid: 19940, started at: 2024-09-01 22:01:27.527519
2024-09-01 22:01:27,528 DEBUG   HandlerThread:19940 [handler.py:handle_request():146] handle_request: status
2024-09-01 22:01:27,530 INFO    WriterThread:19940 [datastore.py:open_for_write():85] open: /Users/swathilakhinana/Desktop/build-ml-pipeline-for-short-term-rental-prices/src/train_random_forest/wandb/run-20240901_220127-cpch6yy3/run-cpch6yy3.wandb
2024-09-01 22:01:27,531 DEBUG   SenderThread:19940 [sender.py:send():380] send: header
2024-09-01 22:01:27,562 DEBUG   SenderThread:19940 [sender.py:send():380] send: run
2024-09-01 22:01:27,758 INFO    SenderThread:19940 [dir_watcher.py:__init__():211] watching files in: /Users/swathilakhinana/Desktop/build-ml-pipeline-for-short-term-rental-prices/src/train_random_forest/wandb/run-20240901_220127-cpch6yy3/files
2024-09-01 22:01:27,758 INFO    SenderThread:19940 [sender.py:_start_run_threads():1124] run started: cpch6yy3 with start time 1725242487.527834
2024-09-01 22:01:27,768 DEBUG   HandlerThread:19940 [handler.py:handle_request():146] handle_request: check_version
2024-09-01 22:01:27,768 DEBUG   SenderThread:19940 [sender.py:send_request():407] send_request: check_version
2024-09-01 22:01:27,858 DEBUG   HandlerThread:19940 [handler.py:handle_request():146] handle_request: run_start
2024-09-01 22:01:27,870 DEBUG   HandlerThread:19940 [system_info.py:__init__():32] System info init
2024-09-01 22:01:27,871 DEBUG   HandlerThread:19940 [system_info.py:__init__():47] System info init done
2024-09-01 22:01:27,871 INFO    HandlerThread:19940 [system_monitor.py:start():194] Starting system monitor
2024-09-01 22:01:27,871 INFO    SystemMonitor:19940 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-01 22:01:27,871 INFO    HandlerThread:19940 [system_monitor.py:probe():214] Collecting system info
2024-09-01 22:01:27,872 INFO    SystemMonitor:19940 [interfaces.py:start():190] Started cpu monitoring
2024-09-01 22:01:27,872 DEBUG   HandlerThread:19940 [system_info.py:probe():196] Probing system
2024-09-01 22:01:27,872 INFO    SystemMonitor:19940 [interfaces.py:start():190] Started disk monitoring
2024-09-01 22:01:27,874 INFO    SystemMonitor:19940 [interfaces.py:start():190] Started memory monitoring
2024-09-01 22:01:27,874 INFO    SystemMonitor:19940 [interfaces.py:start():190] Started network monitoring
2024-09-01 22:01:27,884 DEBUG   HandlerThread:19940 [system_info.py:_probe_git():181] Probing git
2024-09-01 22:01:27,929 DEBUG   HandlerThread:19940 [system_info.py:_probe_git():189] Probing git done
2024-09-01 22:01:27,929 DEBUG   HandlerThread:19940 [system_info.py:probe():244] Probing system done
2024-09-01 22:01:27,929 DEBUG   HandlerThread:19940 [system_monitor.py:probe():223] {'os': 'macOS-14.6.1-x86_64-i386-64bit', 'python': '3.10.14', 'heartbeatAt': '2024-09-02T02:01:27.872485', 'startedAt': '2024-09-02T02:01:27.523130', 'docker': None, 'cuda': None, 'args': ('--trainval_artifact', 'trainval_data.csv:latest', '--val_size', '0.2', '--random_seed', '42', '--stratify_by', 'neighbourhood_group', '--rf_config', '/Users/swathilakhinana/Desktop/build-ml-pipeline-for-short-term-rental-prices/outputs/2024-09-01/22-01-24/rf_config.json', '--max_tfidf_features', '5', '--output_artifact', 'random_forest_export'), 'state': 'running', 'program': '/Users/swathilakhinana/Desktop/build-ml-pipeline-for-short-term-rental-prices/src/train_random_forest/run.py', 'codePathLocal': 'run.py', 'codePath': 'src/train_random_forest/run.py', 'git': {'remote': 'https://github.com/udacity/build-ml-pipeline-for-short-term-rental-prices.git', 'commit': '3e57919f7c98506024ba400fcde4d87f5a94b9b0'}, 'email': None, 'root': '/Users/swathilakhinana/Desktop/build-ml-pipeline-for-short-term-rental-prices', 'host': 'Swathis-MacBook-Air.local', 'username': 'swathilakhinana', 'executable': '/Users/swathilakhinana/miniconda3/envs/mlflow-211c8fb974d6215abb361efdc7b6c4bd9a3e8dfd/bin/python', 'cpu_count': 8, 'cpu_count_logical': 8, 'cpu_freq': {'current': 2400, 'min': 2400, 'max': 2400}, 'cpu_freq_per_core': [{'current': 2400, 'min': 2400, 'max': 2400}], 'disk': {'/': {'total': 460.4317207336426, 'used': 9.560897827148438}}, 'memory': {'total': 16.0}}
2024-09-01 22:01:27,929 INFO    HandlerThread:19940 [system_monitor.py:probe():224] Finished collecting system info
2024-09-01 22:01:27,929 INFO    HandlerThread:19940 [system_monitor.py:probe():227] Publishing system info
2024-09-01 22:01:27,929 DEBUG   HandlerThread:19940 [system_info.py:_save_pip():52] Saving list of pip packages installed into the current environment
2024-09-01 22:01:27,930 DEBUG   HandlerThread:19940 [system_info.py:_save_pip():68] Saving pip packages done
2024-09-01 22:01:27,930 DEBUG   HandlerThread:19940 [system_info.py:_save_conda():75] Saving list of conda packages installed into the current environment
2024-09-01 22:01:28,564 DEBUG   HandlerThread:19940 [system_info.py:_save_conda():87] Saving conda packages done
